date,symbol,Close,High,Low,Open,Volume
2023-10-16,MTN,222.71,223.57,216.91,217.5,413399
2023-10-17,MTN,224.93,227.515,221.93,222.63,495389
2023-10-18,MTN,222.88,224.29,221.76,223.13,445431
2023-10-19,MTN,215.52,224.77,214.759,223.05,400852
2023-10-20,MTN,216.01,217.03,212.48,215.3,328467
2023-10-23,MTN,214.54,218.6,213.99,215.3,322088
2023-10-24,MTN,213.39,218.74,213.17,216.28,356350
2023-10-25,MTN,209.81,212.54,209.69,211.41,464339
2023-10-26,MTN,208.94,210.72,207.32,207.64,445876
2023-10-27,MTN,206.52,210.36,204.88,210.36,396704
2023-10-30,MTN,210.25,211.0,208.04,208.68,387637
2023-10-31,MTN,212.25,214.75,209.06,210.21,423931
2023-11-01,MTN,211.17,212.53,207.89,212.53,447861
2023-11-02,MTN,218.23,218.72,213.19,213.74,341723
2023-11-03,MTN,225.01,225.6,220.44,220.96,442572
2023-11-06,MTN,222.56,225.78,221.71,225.72,342107
2023-11-07,MTN,221.86,223.66,220.6,222.68,305738
2023-11-08,MTN,219.3,223.17,217.89,223.17,253598
2023-11-09,MTN,217.21,221.945,216.66,220.2,259817
2023-11-10,MTN,221.15,221.53,217.12,217.87,210528
2023-11-13,MTN,219.03,220.43,217.9,220.22,250624
2023-11-14,MTN,225.02,226.6,223.312,223.87,287164
2023-11-15,MTN,224.56,227.725,223.21,225.21,262703
2023-11-16,MTN,222.51,224.55,221.18,224.55,255919
2023-11-17,MTN,225.44,226.06,222.05,224.11,251482
2023-11-20,MTN,226.24,227.145,224.77,226.2,257748
2023-11-21,MTN,224.71,226.5,223.62,225.3,222099
2023-11-22,MTN,226.17,228.14,225.01,226.56,259283
2023-11-24,MTN,226.28,226.61,224.0,225.57,115605
2023-11-27,MTN,220.86,225.99,220.46,225.71,383897
2023-11-28,MTN,216.29,220.82,216.1,220.82,528278
2023-11-29,MTN,215.22,218.86,214.71,216.5,384663
2023-11-30,MTN,217.31,217.39,212.22,215.3,604394
2023-12-01,MTN,221.61,221.642,216.76,216.79,404332
2023-12-04,MTN,221.22,224.12,220.015,221.77,410190
2023-12-05,MTN,215.11,220.12,214.93,220.12,328032
2023-12-06,MTN,213.7,216.7,213.27,216.33,400119
2023-12-07,MTN,216.93,218.05,213.37,213.37,413213
2023-12-08,MTN,225.87,227.675,217.7,218.68,775918
2023-12-11,MTN,229.76,230.005,224.911,226.28,530713
2023-12-12,MTN,228.66,229.99,225.935,229.44,288891
2023-12-13,MTN,229.62,229.66,223.443,227.99,390653
2023-12-14,MTN,230.16,235.435,228.59,232.51,440425
2023-12-15,MTN,226.88,229.69,224.54,228.73,545652
2023-12-18,MTN,229.28,231.92,226.55,227.93,473696
2023-12-19,MTN,229.74,232.135,228.71,230.15,335629
2023-12-20,MTN,221.35,228.62,220.58,228.62,411353
2023-12-21,MTN,223.5,223.74,220.17,223.4,396407
2023-12-22,MTN,222.35,223.1,220.4,221.94,315885
2023-12-26,MTN,220.89,222.32,220.81,221.51,302830
2023-12-27,MTN,217.32,220.3625,216.02,220.24,347320
2023-12-28,MTN,218.23,218.36,216.105,217.0,286850
2023-12-29,MTN,213.47,218.35,213.15,217.59,484416
2024-01-02,MTN,210.95,213.31,208.65,212.4,501289
2024-01-03,MTN,206.9,209.81,204.9,209.13,625745
2024-01-04,MTN,209.78,210.5,206.5,207.36,659989
2024-01-05,MTN,210.14,213.55,208.31,208.31,378869
2024-01-08,MTN,213.8,213.81,208.155,209.02,432653
2024-01-09,MTN,211.43,213.02,210.56,212.0,343435
2024-01-10,MTN,214.78,214.79,210.12,211.43,287542
2024-01-11,MTN,214.02,215.58,212.695,215.0,333376
2024-01-12,MTN,216.52,217.48,213.73,214.75,404490
2024-01-16,MTN,211.84,215.54,210.98,215.01,445957
2024-01-17,MTN,214.11,214.11,209.66,209.66,349689
2024-01-18,MTN,222.08,222.553,215.14,215.14,947789
2024-01-19,MTN,223.16,223.64,219.555,222.58,511247
2024-01-22,MTN,224.19,226.98,222.25,225.13,457001
2024-01-23,MTN,225.71,226.29,224.2,224.81,238913
2024-01-24,MTN,224.51,227.66,223.92,227.66,363820
2024-01-25,MTN,225.93,228.37,225.04,226.8,381188
2024-01-26,MTN,228.08,228.12,225.76,227.0,311824
2024-01-29,MTN,223.53,227.75,219.91,227.75,389798
2024-01-30,MTN,220.95,223.35,220.9,221.7,303776
2024-01-31,MTN,222.0,224.2421,219.31,220.83,517539
2024-02-01,MTN,222.05,222.59,217.14,222.43,504018
2024-02-02,MTN,222.38,224.465,216.78,220.26,341042
2024-02-05,MTN,220.13,221.465,218.46,220.65,283038
2024-02-06,MTN,221.45,223.515,219.94,220.92,464546
2024-02-07,MTN,221.25,223.12,219.26,220.0,223634
2024-02-08,MTN,221.76,223.16,219.58,222.89,241991
2024-02-09,MTN,224.06,224.56,220.65,221.17,258936
2024-02-12,MTN,227.79,228.72,223.95,223.95,347180
2024-02-13,MTN,222.58,224.13,220.19,223.36,299856
2024-02-14,MTN,224.2,224.21,220.0,223.91,278546
2024-02-15,MTN,228.07,229.26,224.56,224.56,236761
2024-02-16,MTN,225.48,228.125,225.41,226.07,277526
2024-02-20,MTN,228.14,228.63,224.405,224.69,368258
2024-02-21,MTN,230.26,230.67,227.945,228.54,320676
2024-02-22,MTN,236.85,236.92,231.3255,232.71,398812
2024-02-23,MTN,234.98,236.635,233.15,236.17,286614
2024-02-26,MTN,227.49,234.22,226.5501,234.22,331204
2024-02-27,MTN,229.04,230.38,227.94,227.96,241807
2024-02-28,MTN,230.01,230.505,226.6459,226.83,268589
2024-02-29,MTN,230.31,231.51,229.29,230.66,516867
2024-03-01,MTN,230.55,230.92,227.3,230.0,381129
2024-03-04,MTN,217.93,229.46,216.04,229.46,865326
2024-03-05,MTN,219.06,221.91,215.74,218.22,548142
2024-03-06,MTN,228.71,235.81,228.07,230.19,1020082
2024-03-07,MTN,226.08,229.34,225.53,229.08,461507
2024-03-08,MTN,223.76,225.79,218.15,221.9,720663
2024-03-11,MTN,224.63,228.9,224.2401,224.55,678324
2024-03-12,MTN,226.25,229.44,215.0,215.0,1004957
2024-03-13,MTN,221.49,230.6,221.13,227.56,482868
