date,symbol,Close,High,Low,Open,Volume
2023-10-16,PPC,24.27,24.38,23.78,24.06,661824
2023-10-17,PPC,24.47,24.885,24.27,24.35,1136326
2023-10-18,PPC,24.69,24.81,24.26,24.36,832173
2023-10-19,PPC,24.46,24.955,24.39,24.71,843210
2023-10-20,PPC,24.34,24.7,24.24,24.41,664847
2023-10-23,PPC,23.38,24.26,23.305,24.16,1069514
2023-10-24,PPC,23.42,23.9,23.29,23.37,993812
2023-10-25,PPC,23.51,23.61,23.15,23.24,1006395
2023-10-26,PPC,24.38,24.95,23.97,24.71,1832961
2023-10-27,PPC,24.54,25.42,24.32,24.51,1741503
2023-10-30,PPC,25.35,25.44,24.75,24.75,1525936
2023-10-31,PPC,25.5,25.61,25.11,25.34,754200
2023-11-01,PPC,25.62,25.8,25.415,25.51,874061
2023-11-02,PPC,25.61,26.18,25.465,25.87,893134
2023-11-03,PPC,26.17,26.3,25.76,26.0,1269506
2023-11-06,PPC,26.45,26.61,25.96,26.16,905203
2023-11-07,PPC,26.45,26.535,26.19,26.42,743863
2023-11-08,PPC,25.64,26.5,25.6,26.41,810282
2023-11-09,PPC,26.04,26.24,25.62,25.82,770431
2023-11-10,PPC,25.925,26.2,25.6,26.2,542411
2023-11-13,PPC,26.13,26.18,25.71,25.71,660694
2023-11-14,PPC,26.6,26.655,26.18,26.4,717329
2023-11-15,PPC,26.21,26.64,26.13,26.51,839382
2023-11-16,PPC,25.96,26.39,25.64,26.2,834454
2023-11-17,PPC,26.03,26.205,25.83,26.18,843604
2023-11-20,PPC,26.15,26.27,25.855,25.97,543784
2023-11-21,PPC,25.98,26.21,25.795,26.1,605719
2023-11-22,PPC,26.01,26.23,25.87,26.05,356104
2023-11-24,PPC,26.08,26.13,25.82,26.0,310585
2023-11-27,PPC,25.84,26.07,25.77,26.07,445277
2023-11-28,PPC,25.42,25.77,25.27,25.77,867534
2023-11-29,PPC,25.39,25.455,25.225,25.38,686752
2023-11-30,PPC,25.56,25.675,25.325,25.52,924194
2023-12-01,PPC,25.6,25.625,25.34,25.46,708034
2023-12-04,PPC,26.21,26.21,25.51,25.51,492493
2023-12-05,PPC,26.52,26.52,25.96,26.11,571586
2023-12-06,PPC,26.23,26.58,26.12,26.54,495319
2023-12-07,PPC,26.4,26.465,26.07,26.2,520761
