symbol,date,close,high,low,open,volume
IOT,2023-10-09,25.58,25.818,25.03,25.19,1356147
HCI,2023-10-09,55.41,55.69,53.785,54.47,47210
CRMT,2023-10-09,86.96,87.885,85.955,87.16,78228
CRMT,2023-10-10,88.4,90.15,87.13,87.13,52196
IOT,2023-10-10,25.04,26.24,24.92,25.5,2846765
HCI,2023-10-10,56.3,56.89,55.35,55.77,91937
HCI,2023-10-11,57.88,58.02,56.12,56.12,66060
IOT,2023-10-11,25.43,26.09,25.07,25.63,1795656
CRMT,2023-10-11,86.04,89.13,85.11,89.13,46092
HCI,2023-10-12,57.82,58.02,53.8,56.3725,43184
CRMT,2023-10-12,84.05,86.78,82.63,85.91,82426
IOT,2023-10-12,24.65,25.67,24.335,25.48,1648330
CRMT,2023-10-13,81.34,84.1,80.14,84.1,55485
HCI,2023-10-13,59.0,59.1492,57.69,57.69,66734
IOT,2023-10-13,23.46,24.5187,22.74,24.2,2797597
CRMT,2023-10-16,82.89,84.4,82.1,82.26,45409
IOT,2023-10-16,24.43,24.65,23.53,23.7,1683580
HCI,2023-10-16,59.35,59.99,58.94,59.28,68888
CRMT,2023-10-17,77.15,83.19,74.425,80.57,116644
IOT,2023-10-17,24.9,25.12,23.92,24.11,1604433
HCI,2023-10-17,59.89,60.63,59.08,59.08,85441
CRMT,2023-10-18,76.3,77.51,74.49,76.65,77523
IOT,2023-10-18,23.56,24.82,23.505,24.62,1529537
HCI,2023-10-18,59.21,60.3,59.14,59.97,86316
CRMT,2023-10-19,76.55,77.3,75.25,76.1,71053
HCI,2023-10-19,57.69,59.18,57.135,59.18,65781
IOT,2023-10-19,23.23,23.97,23.18,23.78,1670057
HCI,2023-10-20,57.8,58.16,56.375,57.81,70484
IOT,2023-10-20,22.82,23.55,22.15,23.0,4043004
CRMT,2023-10-20,75.1,76.67,73.73,76.67,57601
CRMT,2023-10-23,68.8,74.88,68.52,74.88,103133
HCI,2023-10-23,58.15,58.265,57.23,57.42,55386
IOT,2023-10-23,23.15,23.5599,22.28,22.57,1660340
HCI,2023-10-24,58.63,59.22,58.25,59.0,40444
CRMT,2023-10-24,67.92,70.73,66.56,69.12,114475
IOT,2023-10-24,23.68,24.06,23.39,23.56,1564434
CRMT,2023-10-25,64.92,67.19,63.575,67.19,120399
IOT,2023-10-25,22.16,23.68,21.765,23.68,3374684
HCI,2023-10-25,57.76,58.85,57.19,58.28,31329
IOT,2023-10-26,22.14,22.75,21.76,22.26,1890348
CRMT,2023-10-26,63.38,66.05,62.66,65.15,134615
HCI,2023-10-26,56.79,58.96,56.79,58.06,44143
CRMT,2023-10-27,64.4,64.63,62.05,63.2,137132
IOT,2023-10-27,22.21,22.8103,22.135,22.41,1163602
HCI,2023-10-27,56.74,57.55,55.83,56.57,43209
IOT,2023-10-30,22.95,23.05,22.31,22.73,1372575
CRMT,2023-10-30,65.21,66.665,63.09,64.55,147724
HCI,2023-10-30,57.3,58.25,56.82,57.01,37829
IOT,2023-10-31,23.07,23.45,22.62,23.11,1385378
CRMT,2023-10-31,66.98,68.08,65.44,65.44,84107
HCI,2023-10-31,58.97,59.13,57.12,57.9,55502
HCI,2023-11-01,61.49,61.7751,59.02,59.3,99240
CRMT,2023-11-01,67.05,67.75,64.91,66.37,104491
IOT,2023-11-01,22.34,22.95,21.48,22.86,3374698
HCI,2023-11-02,62.2,63.22,61.25,61.72,147379
IOT,2023-11-02,22.71,23.51,22.19,22.99,3072163
CRMT,2023-11-02,71.19,71.2,67.7,68.45,98968
HCI,2023-11-03,62.69,63.74,62.45,63.08,48682
CRMT,2023-11-03,74.26,75.55,72.18,72.18,86451
IOT,2023-11-03,25.03,25.05,22.66,22.76,4701768
IOT,2023-11-06,24.14,25.45,23.44,25.23,1915849
CRMT,2023-11-06,74.27,75.3,72.07,74.14,80629
HCI,2023-11-06,62.56,63.0,61.2293,61.2293,35375
CRMT,2023-11-07,74.31,75.43,72.79,74.05,43911
IOT,2023-11-07,25.14,25.99,24.3,24.3,2756772
HCI,2023-11-07,64.5,65.21,62.01,62.46,119961
IOT,2023-11-08,24.8,25.235,24.48,25.15,1182233
CRMT,2023-11-08,72.78,74.12,71.94,73.73,88857
HCI,2023-11-08,78.38,79.39,69.61,69.61,743271
IOT,2023-11-09,23.56,25.66,23.51,25.1,2444346
HCI,2023-11-09,75.92,79.5,75.92,78.92,151651
CRMT,2023-11-09,73.79,73.99,71.98,73.8,83453
IOT,2023-11-10,24.0,24.0,23.12,23.35,1634256
CRMT,2023-11-10,74.25,75.18,72.28,74.47,64299
HCI,2023-11-10,75.7,76.315,74.5,76.23,190565
CRMT,2023-11-13,73.72,75.6,72.785,73.94,60344
HCI,2023-11-13,76.68,76.72,74.62,76.42,130083
IOT,2023-11-13,23.57,23.9499,23.35,23.57,1588557
HCI,2023-11-14,79.0,79.42,77.0,78.79,97164
CRMT,2023-11-14,81.11,81.11,76.39,76.39,96489
IOT,2023-11-14,26.3,26.32,24.82,24.99,3728869
CRMT,2023-11-15,81.76,85.68,80.68,80.94,70548
IOT,2023-11-15,26.63,27.9529,26.31,26.43,3682098
HCI,2023-11-15,79.5,80.69,78.35,78.65,140068
CRMT,2023-11-16,77.1,81.34,76.44,80.83,84487
HCI,2023-11-16,81.35,82.5,78.83,80.5,230248
IOT,2023-11-16,26.58,26.6971,25.88,26.28,1815695
IOT,2023-11-17,26.88,27.4,26.22,26.63,2011885
HCI,2023-11-17,83.73,83.73,80.92,81.74,89885
CRMT,2023-11-17,78.56,79.4,75.81,78.94,70630
IOT,2023-11-20,27.16,27.355,26.62,27.0,1691029
HCI,2023-11-20,83.38,84.9899,82.17,83.74,124451
CRMT,2023-11-20,79.95,80.88,78.01,78.16,51874
