symbol,latestPrice,previousClose,extendedPrice,extendedChangePercent,latestVolume,marketcapType,marketcap,exchange,exchangeName,extendedPriceTime,companyName
A,134.84,134.75,134.83,-7e-05,1066817,Large-Cap,39513474092.0,XNYS,New York Stock Exchange Inc,1708121390024.0,Agilent Technologies Inc.
AA,27.4,27.39,27.4,0.0,4684101,Mid-Cap,4890130279.0,XNYS,New York Stock Exchange Inc,1708122071535.0,Alcoa Corp
AACG,1.46,1.4297,,,38458,Micro-Cap,45846051.0,XNAS,Nasdaq All Markets,,ATA Creativity Global - ADR
AACI,10.96,10.96,,,509,Micro-Cap,25902305.0,XNAS,Nasdaq All Markets,,Armada Acquisition Corp I
AACIU,10.9,10.9,,,1655,Micro-Cap,25878671.0,XNAS,Nasdaq All Markets,,Armada Acquisition Corp I - Units (1 Ord & 1/2 War)
AACT,10.525,10.525,10.52,-0.00048,143900,Small-Cap,526250000.0,XNYS,New York Stock Exchange Inc,1708117800003.0,Ares Acquisition Corporation II - Class A
AACT=,10.629,10.629,10.629,0.0,600,Small-Cap,526249996.0,XNYS,New York Stock Exchange Inc,1708041600004.0,Ares Acquisition Corporation II - Units (1 Ord Class A & 1/2 War)
AADI,1.9,1.9,,,184134,Micro-Cap,46599134.0,XNAS,Nasdaq All Markets,,Aadi Bioscience Inc
AADR,57.32,57.32,,,212,Micro-Cap,25794000.0,XNAS,Nasdaq All Markets,,Advisorshares Trust - AdvisorShares Dorsey Wright ADR ETF
AAGR,0.83,0.83,,,91421,Micro-Cap,48029469.0,XNAS,Nasdaq All Markets,,African Agriculture Holdings Inc
AAL,14.65,14.9,,,21530648,Mid-Cap,9574369058.0,XNAS,Nasdaq All Markets,,American Airlines Group Inc
AAME,2.42,2.47,,,8093,Micro-Cap,49373537.0,XNAS,Nasdaq All Markets,,Atlantic American Corp.
AAN,10.51,10.83,10.51,0.0,150643,Small-Cap,318760806.0,XNYS,New York Stock Exchange Inc,1708117800004.0,Aarons Company Inc (The)
AAOI,21.34,22.41,,,5197295,Small-Cap,758350575.0,XNAS,Nasdaq All Markets,,Applied Optoelectronics Inc
AAON,84.3,84.6,,,440520,Mid-Cap,6921030000.0,XNAS,Nasdaq All Markets,,AAON Inc.
AAP,64.49,64.65,64.5,0.00016,1762938,Mid-Cap,3837283335.0,XNYS,New York Stock Exchange Inc,1708122041748.0,Advance Auto Parts Inc
AAPB,20.63,20.63,,,31909,Micro-Cap,5570121.0,XNAS,Nasdaq All Markets,,GraniteShares ETF Trust - GraniteShares 2x Long AAPL Daily ETF
AAPD,21.415,21.23,,,270843,Micro-Cap,34799396.0,XNAS,Nasdaq All Markets,,Direxion Shares ETF Trust - Direxion Daily AAPL Bear 1X Shares
AAPL,182.3,183.86,,,49691108,Mega-Cap,2815054906300.0,XNAS,Nasdaq All Markets,,Apple Inc
AAPU,24.98,25.37,,,202411,Micro-Cap,34347525.0,XNAS,Nasdaq All Markets,,Direxion Shares ETF Trust - Direxion Daily AAPL Bull 1.5X Shares
AAT,21.78,21.99,21.78,0.0,286324,Small-Cap,1326310219.0,XNYS,New York Stock Exchange Inc,1708117800003.0,American Assets Trust Inc
AAXJ,65.88,65.61,,,585980,Mid-Cap,2398032000.0,XNAS,Nasdaq All Markets,,BlackRock Institutional Trust Company N.A. - iShares MSCI All Country Asia ex Japan ETF
AB,32.61,32.94,32.61,0.0,284250,Mid-Cap,3731760928.0,XNYS,New York Stock Exchange Inc,1708120752775.0,AllianceBernstein Holding Lp - Unit
ABAT,2.005,2.06,,,1442850,Micro-Cap,104029287.0,XNAS,Nasdaq All Markets,,American Battery Technology Company
ABBV,177.49,176.59,177.5,6e-05,6695370,Mega-Cap,319482000000.0,XNYS,New York Stock Exchange Inc,1708121929179.0,Abbvie Inc
ABCB,47.44,48.02,,,469980,Mid-Cap,3275829774.0,XNAS,Nasdaq All Markets,,Ameris Bancorp
ABCL,5.35,5.28,,,1374269,Small-Cap,1552410789.0,XNAS,Nasdaq All Markets,,AbCellera Biologics Inc
ABCS,25.665,25.665,,,110,Micro-Cap,7699500.0,XNAS,Nasdaq All Markets,,EA Series Trust - Alpha Blue Capital US Small-Mid Cap Dynamic ETF
ABEO,7.02,6.49,,,314345,Micro-Cap,173908685.0,XNAS,Nasdaq All Markets,,Abeona Therapeutics Inc
ABEV,2.55,2.56,2.57,0.00784,8479402,Large-Cap,40172274874.0,XNYS,New York Stock Exchange Inc,1708120518474.0,Ambev S.A. - ADR
ABG,216.89,221.34,216.89,0.0,168892,Mid-Cap,4463026213.0,XNYS,New York Stock Exchange Inc,1708117925331.0,Asbury Automotive Group Inc
ABIO,1.665,1.65,,,16715,Micro-Cap,24144403.0,XNAS,Nasdaq All Markets,,ARCA biopharma Inc
ABL,12.24,12.31,,,15521,Small-Cap,775401834.0,XNAS,Nasdaq All Markets,,Abacus Life Inc - Class A
ABLLL,24.94,24.94,,,8901,Small-Cap,779836315.0,XNAS,Nasdaq All Markets,,Abacus Life Inc - 9.875% NT REDEEM 15/11/2028 USD 25
ABLLW,0.8,0.8,,,26576,Small-Cap,779836321.0,XNAS,Nasdaq All Markets,,Abacus Life Inc - Warrants (30/06/2028)
ABLV,2.6,2.6,,,6096,Micro-Cap,45468280.0,XNAS,Nasdaq All Markets,,Able View Global Inc - Class B
ABLVW,0.0328,0.0328,,,17641,Micro-Cap,45468280.0,XNAS,Nasdaq All Markets,,Able View Global Inc - Warrants (17/08/2028)
ABM,40.58,41.55,40.58,0.0,672247,Mid-Cap,2550904168.0,XNYS,New York Stock Exchange Inc,1708118816034.0,ABM Industries Inc.
ABNB,152.51,157.69,,,6517410,Large-Cap,97968944179.0,XNAS,Nasdaq All Markets,,Airbnb Inc - Class A
ABOS,3.275,3.13,,,392027,Micro-Cap,189656760.0,XNAS,Nasdaq All Markets,,Acumen Pharmaceuticals Inc
ABR,13.99,13.12,14.01,0.00143,12942428,Mid-Cap,2637137972.0,XNYS,New York Stock Exchange Inc,1708122173964.0,Arbor Realty Trust Inc.
ABR-D,17.72,17.53,17.75,0.00169,20242,Mid-Cap,2499946850.0,XNYS,New York Stock Exchange Inc,1708117800004.0,Arbor Realty Trust Inc. - 6.375% PRF PERPETUAL USD 25 - Ser D
ABR-E,17.81,18.04,18.25,0.02471,26326,Mid-Cap,2441610354.0,XNYS,New York Stock Exchange Inc,1708117800005.0,Arbor Realty Trust Inc. - 6.25% PRF PERPETUAL USD 25 - Ser E
ABR-F,18.67,18.38,18.67,0.0,81545,Mid-Cap,2512162816.0,XNYS,New York Stock Exchange Inc,1708117800003.0,Arbor Realty Trust Inc. - FXDFR PRF PERPETUAL USD 25 - Ser F
ABSI,5.31,5.15,,,1992570,Small-Cap,493503313.0,XNAS,Nasdaq All Markets,,Absci Corp
ABT,114.01,113.64,113.84,-0.00149,7160966,Large-Cap,197928033689.0,XNYS,New York Stock Exchange Inc,1708121224597.0,Abbott Laboratories
ABTS,0.9651,1.02,,,137972,Micro-Cap,34313819.0,XNAS,Nasdaq All Markets,,Abits Group Inc
ABUS,2.89,2.91,,,1474602,Small-Cap,484639264.0,XNAS,Nasdaq All Markets,,Arbutus Biopharma Corp
ABVC,1.265,1.28,,,176180,Micro-Cap,9795942.0,XNAS,Nasdaq All Markets,,ABVC BioPharma Inc
ABVX,11.945,12.0,,,19915,Small-Cap,751410593.0,XNAS,Nasdaq All Markets,,Abivax - ADR
AC,33.07,32.76,33.07,0.0,7343,Micro-Cap,87327023.0,XNYS,New York Stock Exchange Inc,1708117800001.0,Associated Capital Group Inc - Class A
ACA,82.91,83.86,82.91,0.0,198103,Mid-Cap,4042688781.0,XNYS,New York Stock Exchange Inc,1708117925331.0,Arcosa Inc
ACAB,10.5701,10.5701,,,11,Micro-Cap,115591347.0,XNAS,Nasdaq All Markets,,Atlantic Coastal Acquisition Corp II - Class A
ACABU,10.53,10.53,,,200,Micro-Cap,115591348.0,XNAS,Nasdaq All Markets,,Atlantic Coastal Acquisition Corp II - Units (1 Ord Class A & 1/2 War)
ACAC,11.105,11.105,,,32861,Micro-Cap,36147330.0,XNAS,Nasdaq All Markets,,Acri Capital Acquisition Corp - Class A
ACACU,11.1,11.1,,,100,Micro-Cap,36147328.0,XNAS,Nasdaq All Markets,,Acri Capital Acquisition Corp - Units (1 Ord Class A & 1/2 War)
ACACW,0.09,0.09,,,52131,Micro-Cap,36147330.0,XNAS,Nasdaq All Markets,,Acri Capital Acquisition Corp - Warrants (01/02/2029)
ACAD,25.1,25.18,,,1504232,Mid-Cap,4120927463.0,XNAS,Nasdaq All Markets,,Acadia Pharmaceuticals Inc
ACAH,10.6,10.6,,,2148,Micro-Cap,128870666.0,XNAS,Nasdaq All Markets,,Atlantic Coastal Acquisition Corp - Class A
ACAHU,10.66,10.66,,,3002,Micro-Cap,128627515.0,XNAS,Nasdaq All Markets,,Atlantic Coastal Acquisition Corp - Units (1 Ord Share Class A & 1/3 War)
ACAHW,0.016,0.0202,,,122011,Micro-Cap,101883179.0,XNAS,Nasdaq All Markets,,Atlantic Coastal Acquisition Corp - Warrants (02/03/2026)
ACB,0.3874,0.39,,,9047956,Micro-Cap,211285544.0,XNAS,Nasdaq All Markets,,Aurora Cannabis Inc
ACBA,12.0267,12.0267,,,6,Micro-Cap,41265760.0,XNAS,Nasdaq All Markets,,Ace Global Business Acquisition Ltd
ACBAU,11.72,11.72,,,289,Micro-Cap,41265757.0,XNAS,Nasdaq All Markets,,Ace Global Business Acquisition Ltd - Units (1 Ord & 1 War)
ACBAW,0.0298,0.0298,,,1,Micro-Cap,41265760.0,XNAS,Nasdaq All Markets,,Ace Global Business Acquisition Ltd - Warrants (26/03/2026)
ACCD,12.37,13.14,,,558412,Small-Cap,957532099.0,XNAS,Nasdaq All Markets,,Accolade Inc
ACCO,6.5,6.59,6.5,0.0,426646,Small-Cap,617016738.0,XNYS,New York Stock Exchange Inc,1708120759090.0,Acco Brands Corporation
ACDC,7.59,7.34,,,756588,Small-Cap,1209761303.0,XNAS,Nasdaq All Markets,,ProFrac Holding Corp Class A
ACEL,10.41,10.47,10.41,0.0,206966,Small-Cap,882802186.0,XNYS,New York Stock Exchange Inc,1708117800002.0,Accel Entertainment Inc - Class A1
ACET,2.94,3.0,,,539805,Micro-Cap,221933509.0,XNAS,Nasdaq All Markets,,Adicet Bio Inc
ACGL,86.095,87.4,,,2370188,Large-Cap,32128235505.0,XNAS,Nasdaq All Markets,,Arch Capital Group Ltd
ACGLN,20.15,20.39,,,39558,Large-Cap,32231328125.0,XNAS,Nasdaq All Markets,,"Arch Capital Group Ltd - 4.55% PRF PERPETUAL USD 25 - Ser G 1/1,000th Int"
ACGLO,23.44,23.4329,,,8954,Large-Cap,32625107031.0,XNAS,Nasdaq All Markets,,Arch Capital Group Ltd - 5.45% PRF PERPETUAL USD 25 - Ser F 1/1000 th Int
ACHC,82.93,83.2,,,324040,Mid-Cap,7647512355.0,XNAS,Nasdaq All Markets,,Acadia Healthcare Company Inc
ACHL,1.06,0.9598,,,2563202,Micro-Cap,43229925.0,XNAS,Nasdaq All Markets,,Achilles Therapeutics Plc - ADR
ACHR,5.24,5.45,5.26,0.00382,4218317,Small-Cap,1332358876.0,XNYS,New York Stock Exchange Inc,1708122256145.0,Archer Aviation Inc - Class A
ACHV,4.32,4.43,,,62757,Micro-Cap,91436083.0,XNAS,Nasdaq All Markets,,Achieve Life Sciences Inc.
ACI,21.58,21.3,21.5,-0.00371,6107975,Large-Cap,12430940308.0,XNYS,New York Stock Exchange Inc,1708122043615.0,Albertsons Companies Inc - Class A
ACIC,13.2,12.74,,,395421,Small-Cap,579450590.0,XNAS,Nasdaq All Markets,,American Coastal Insurance Corp
ACIU,3.055,3.01,,,82210,Micro-Cap,257992770.0,XNAS,Nasdaq All Markets,,AC Immune SA
ACIW,30.84,31.84,,,488114,Mid-Cap,3352308000.0,XNAS,Nasdaq All Markets,,ACI Worldwide Inc
ACLS,116.82,119.26,,,612978,Mid-Cap,3825558160.0,XNAS,Nasdaq All Markets,,Axcelis Technologies Inc
ACLX,61.37,63.79,,,371815,Mid-Cap,2987871296.0,XNAS,Nasdaq All Markets,,Arcellx Inc
ACM,89.19,90.7,89.42,0.00258,574202,Large-Cap,12131936054.0,XNYS,New York Stock Exchange Inc,1708120167878.0,AECOM
ACMR,19.61,19.97,,,935012,Small-Cap,1090041146.0,XNAS,Nasdaq All Markets,,ACM Research Inc - Class A
ACN,369.48,371.51,368.7,-0.00211,2410203,Mega-Cap,246262687863.0,XNYS,New York Stock Exchange Inc,1708122300861.0,Accenture plc - Class A
ACNB,37.9,39.4,,,8271,Small-Cap,322442133.0,XNAS,Nasdaq All Markets,,ACNB Corp.
ACNT,10.03,10.05,,,1961,Micro-Cap,101559096.0,XNAS,Nasdaq All Markets,,Ascent Industries Co
ACON,1.74,1.75,,,63038,Micro-Cap,15299837.0,XNAS,Nasdaq All Markets,,Aclarion Inc
ACONW,0.0351,0.0351,,,29701,Micro-Cap,15387767.0,XNAS,Nasdaq All Markets,,Aclarion Inc - Warrants (01/12/2026)
ACOR,14.85,15.2,,,6217,Micro-Cap,18445155.0,XNAS,Nasdaq All Markets,,Acorda Therapeutics Inc
ACP,6.82,6.84,6.82,0.0,247365,Small-Cap,355155319.0,XNYS,New York Stock Exchange Inc,1708117800004.0,abrdn Income Credit Strategies Fund
ACP-A,23.965,23.15,24.0,0.00146,865,Small-Cap,368736801.0,XNYS,New York Stock Exchange Inc,1708117800005.0,abrdn Income Credit Strategies Fund - 5.25% PRF PERPETUAL USD 25 - Ser A
ACR,10.07,10.04,10.07,0.0,40628,Micro-Cap,85143169.0,XNYS,New York Stock Exchange Inc,1708117800004.0,ACRES Commercial Realty Corp
ACR-C,23.77,23.74,23.77,0.0,3176,Micro-Cap,84996790.0,XNYS,New York Stock Exchange Inc,1708117800006.0,ACRES Commercial Realty Corp - FXDFR PRF PERPETUAL USD 25 - Ser C
ACR-D,22.1,22.06,22.1,0.0,545,Micro-Cap,85043430.0,XNYS,New York Stock Exchange Inc,1708117800003.0,ACRES Commercial Realty Corp - 7.875% PRF PERPETUAL USD 25 - Ser D
