symbol,marketcap,exchange,exchangeName,marketcapType
A,38306150499.0,XNYS,New York Stock Exchange Inc,Large-Cap
AA,4658116799.0,XNYS,New York Stock Exchange Inc,Mid-Cap
AACG,40193798.0,XNAS,Nasdaq All Markets,Micro-Cap
AACI,25760504.0,XNAS,Nasdaq All Markets,Micro-Cap
AACIU,25760504.0,XNAS,Nasdaq All Markets,Micro-Cap
AACT,525500000.0,XNYS,New York Stock Exchange Inc,Small-Cap
AACT=,525000001.0,XNYS,New York Stock Exchange Inc,Small-Cap
AADI,43901289.0,XNAS,Nasdaq All Markets,Micro-Cap
AADR,25636500.0,XNAS,Nasdaq All Markets,Micro-Cap
AAGR,50344142.0,XNAS,Nasdaq All Markets,Micro-Cap
AAL,9580904463.0,XNAS,Nasdaq All Markets,Mid-Cap
AAME,48965491.0,XNAS,Nasdaq All Markets,Micro-Cap
AAN,309358727.0,XNYS,New York Stock Exchange Inc,Small-Cap
AAOI,687277419.0,XNAS,Nasdaq All Markets,Small-Cap
AAON,6561432000.0,XNAS,Nasdaq All Markets,Mid-Cap
AAP,3820027758.0,XNYS,New York Stock Exchange Inc,Mid-Cap
AAPB,5778021.0,XNAS,Nasdaq All Markets,Micro-Cap
AAPD,34238771.0,XNAS,Nasdaq All Markets,Micro-Cap
AAPL,2863079156210.0,XNAS,Nasdaq All Markets,Mega-Cap
AAPU,35805026.0,XNAS,Nasdaq All Markets,Micro-Cap
AAT,1308041483.0,XNYS,New York Stock Exchange Inc,Small-Cap
AAXJ,2349438000.0,XNAS,Nasdaq All Markets,Mid-Cap
AB,3864506793.0,XNYS,New York Stock Exchange Inc,Mid-Cap
ABAT,107643537.0,XNAS,Nasdaq All Markets,Micro-Cap
ABBV,311670000000.0,XNYS,New York Stock Exchange Inc,Mega-Cap
ABCB,3232326975.0,XNAS,Nasdaq All Markets,Mid-Cap
ABCL,1476966527.0,XNAS,Nasdaq All Markets,Small-Cap
ABCS,7476000.0,XNAS,Nasdaq All Markets,Micro-Cap
ABEO,165238024.0,XNAS,Nasdaq All Markets,Micro-Cap
ABEV,39620890709.0,XNYS,New York Stock Exchange Inc,Large-Cap
ABG,4485764209.0,XNYS,New York Stock Exchange Inc,Mid-Cap
ABIO,23419346.0,XNAS,Nasdaq All Markets,Micro-Cap
ABL,785537805.0,XNAS,Nasdaq All Markets,Small-Cap
ABLLL,783637305.0,XNAS,Nasdaq All Markets,Small-Cap
ABLLW,783637311.0,XNAS,Nasdaq All Markets,Small-Cap
ABLV,45643158.0,XNAS,Nasdaq All Markets,Micro-Cap
ABLVW,45643158.0,XNAS,Nasdaq All Markets,Micro-Cap
ABM,2558447503.0,XNYS,New York Stock Exchange Inc,Mid-Cap
ABNB,97583517870.0,XNAS,Nasdaq All Markets,Large-Cap
ABOS,182707504.0,XNAS,Nasdaq All Markets,Micro-Cap
ABR,2320455213.0,XNYS,New York Stock Exchange Inc,Mid-Cap
ABR-D,2387634601.0,XNYS,New York Stock Exchange Inc,Mid-Cap
ABR-E,2422240752.0,XNYS,New York Stock Exchange Inc,Mid-Cap
ABR-F,2375157046.0,XNYS,New York Stock Exchange Inc,Mid-Cap
ABSI,390341603.0,XNAS,Nasdaq All Markets,Small-Cap
ABT,194351753105.0,XNYS,New York Stock Exchange Inc,Large-Cap
ABTS,36265771.0,XNAS,Nasdaq All Markets,Micro-Cap
ABUS,477931454.0,XNAS,Nasdaq All Markets,Small-Cap
ABVC,10144415.0,XNAS,Nasdaq All Markets,Micro-Cap
ABVX,763048179.0,XNAS,Nasdaq All Markets,Small-Cap
AC,86033094.0,XNYS,New York Stock Exchange Inc,Micro-Cap
ACA,3995391614.0,XNYS,New York Stock Exchange Inc,Mid-Cap
ACAB,124666877.0,XNAS,Nasdaq All Markets,Micro-Cap
ACABU,115591348.0,XNAS,Nasdaq All Markets,Micro-Cap
ACAC,36033404.0,XNAS,Nasdaq All Markets,Micro-Cap
ACACU,36033408.0,XNAS,Nasdaq All Markets,Micro-Cap
ACACW,36033404.0,XNAS,Nasdaq All Markets,Micro-Cap
ACAD,4304809485.0,XNAS,Nasdaq All Markets,Mid-Cap
ACAH,128870666.0,XNAS,Nasdaq All Markets,Micro-Cap
ACAHU,129755737.0,XNAS,Nasdaq All Markets,Micro-Cap
ACAHW,129755740.0,XNAS,Nasdaq All Markets,Micro-Cap
ACB,185459719.0,XNAS,Nasdaq All Markets,Micro-Cap
ACBA,41265760.0,XNAS,Nasdaq All Markets,Micro-Cap
ACBAU,41265757.0,XNAS,Nasdaq All Markets,Micro-Cap
ACBAW,41265760.0,XNAS,Nasdaq All Markets,Micro-Cap
ACCD,1001654435.0,XNAS,Nasdaq All Markets,Small-Cap
ACCO,607998801.0,XNYS,New York Stock Exchange Inc,Small-Cap
ACDC,1119706608.0,XNAS,Nasdaq All Markets,Small-Cap
ACEL,863297431.0,XNYS,New York Stock Exchange Inc,Small-Cap
ACET,214007312.0,XNAS,Nasdaq All Markets,Micro-Cap
ACGL,31290464570.0,XNAS,Nasdaq All Markets,Large-Cap
ACGLN,30616511719.0,XNAS,Nasdaq All Markets,Large-Cap
ACGLO,31010585628.0,XNAS,Nasdaq All Markets,Large-Cap
ACHC,7626763648.0,XNAS,Nasdaq All Markets,Mid-Cap
ACHL,37928142.0,XNAS,Nasdaq All Markets,Micro-Cap
ACHR,1329816206.0,XNYS,New York Stock Exchange Inc,Small-Cap
ACHV,97150838.0,XNAS,Nasdaq All Markets,Micro-Cap
ACI,12223565957.0,XNYS,New York Stock Exchange Inc,Large-Cap
ACIC,520627576.0,XNAS,Nasdaq All Markets,Small-Cap
ACIU,240680653.0,XNAS,Nasdaq All Markets,Micro-Cap
ACIW,3300132000.0,XNAS,Nasdaq All Markets,Mid-Cap
ACLS,3951308403.0,XNAS,Nasdaq All Markets,Mid-Cap
ACLX,3046781582.0,XNAS,Nasdaq All Markets,Mid-Cap
ACM,12233953680.0,XNYS,New York Stock Exchange Inc,Large-Cap
ACMR,1027784844.0,XNAS,Nasdaq All Markets,Small-Cap
ACN,243143413805.0,XNYS,New York Stock Exchange Inc,Mega-Cap
ACNB,315380736.0,XNAS,Nasdaq All Markets,Small-Cap
ACNT,98723947.0,XNAS,Nasdaq All Markets,Micro-Cap
ACON,16706719.0,XNAS,Nasdaq All Markets,Micro-Cap
ACONW,16706719.0,XNAS,Nasdaq All Markets,Micro-Cap
ACOR,18805364.0,XNAS,Nasdaq All Markets,Micro-Cap
ACP,351510030.0,XNYS,New York Stock Exchange Inc,Small-Cap
