close,high,low,open,priceDate,symbol,volume,id,key,subkey,date,updated,changeOverTime,marketChangeOverTime,uOpen,uClose,uHigh,uLow,uVolume,fOpen,fClose,fHigh,fLow,fVolume,label,change,changePercent,Ticker
30.93,31.1197,26.7,27.0,2023-09-01,IOT,9734302,HISTORICAL_PRICES,IOT,,2023-09-01,1693618244000,0.0,0.0,27.0,30.93,31.1197,26.7,9734302,27.0,30.93,31.1197,26.7,9734302,"Sep 1, 23",0.0,0.0,IOT
31.83,31.86,30.64,30.96,2023-09-05,IOT,6547410,HISTORICAL_PRICES,IOT,,2023-09-05,1693962017000,0.029097963142579973,0.029097963142579973,30.96,31.83,31.86,30.64,6547410,30.96,31.83,31.86,30.64,6547410,"Sep 5, 23",0.8999999999999986,0.0291,IOT
31.58,32.41,31.2527,31.75,2023-09-06,IOT,4117469,HISTORICAL_PRICES,IOT,,2023-09-06,1694048456000,0.021015195602974414,0.021015195602974414,31.75,31.58,32.41,31.2527,4117469,31.75,31.58,32.41,31.2527,4117469,"Sep 6, 23",-0.25,-0.0079,IOT
30.91,31.43,30.31,30.6,2023-09-07,IOT,3179429,HISTORICAL_PRICES,IOT,,2023-09-07,1694134874000,-0.0006466214031684312,-0.0006466214031684312,30.6,30.91,31.43,30.31,3179429,30.6,30.91,31.43,30.31,3179429,"Sep 7, 23",-0.6699999999999982,-0.0212,IOT
30.57,31.7312,30.24,30.87,2023-09-08,IOT,2992773,HISTORICAL_PRICES,IOT,,2023-09-08,1694233850000,-0.01163918525703199,-0.01163918525703199,30.87,30.57,31.7312,30.24,2992773,30.87,30.57,31.7312,30.24,2992773,"Sep 8, 23",-0.33999999999999986,-0.011,IOT
30.85,31.204,30.46,30.99,2023-09-11,IOT,2279206,HISTORICAL_PRICES,IOT,,2023-09-11,1694480447000,-0.0025864856126737246,-0.0025864856126737246,30.99,30.85,31.204,30.46,2279206,30.99,30.85,31.204,30.46,2279206,"Sep 11, 23",0.28000000000000114,0.0092,IOT
30.27,31.0,30.06,30.5,2023-09-12,IOT,2490391,HISTORICAL_PRICES,IOT,,2023-09-12,1694566839000,-0.021338506304558684,-0.021338506304558684,30.5,30.27,31.0,30.06,2490391,30.5,30.27,31.0,30.06,2490391,"Sep 12, 23",-0.5800000000000018,-0.0188,IOT
29.32,29.75,28.46,29.75,2023-09-13,IOT,4785559,HISTORICAL_PRICES,IOT,,2023-09-13,1694653245000,-0.05205302295505979,-0.05205302295505979,29.75,29.32,29.75,28.46,4785559,29.75,29.32,29.75,28.46,4785559,"Sep 13, 23",-0.9499999999999993,-0.0314,IOT
29.03,29.64,27.87,29.59,2023-09-14,IOT,3742187,HISTORICAL_PRICES,IOT,,2023-09-14,1694739661000,-0.06142903330100222,-0.06142903330100222,29.59,29.03,29.64,27.87,3742187,29.59,29.03,29.64,27.87,3742187,"Sep 14, 23",-0.28999999999999915,-0.0099,IOT
28.14,28.438,26.77,28.28,2023-09-15,IOT,10550340,HISTORICAL_PRICES,IOT,,2023-09-15,1694827948000,-0.09020368574199804,-0.09020368574199804,28.28,28.14,28.438,26.77,10550340,28.28,28.14,28.438,26.77,10550340,"Sep 15, 23",-0.8900000000000006,-0.0307,IOT
