,close,high,low,open,priceDate,symbol,volume,id,key,subkey,date,updated,changeOverTime,marketChangeOverTime,uOpen,uClose,uHigh,uLow,uVolume,fOpen,fClose,fHigh,fLow,fVolume,label,change,changePercent,Ticker
413,126.78,127.35,123.17,126.67,2023-10-31,ALB,6601232,HISTORICAL_PRICES,ALB,,2023-10-31,1702938107000,-0.3669230000998701,-0.3669230000998701,126.67,126.78,127.35,123.17,6601232,126.308,126.418,126.986,122.818,6601232,"Oct 31, 23",-0.6299999999999955,-0.0049,ALB
687,29.85,29.85,29.6181,29.68,2023-12-12,STRV,79344,HISTORICAL_PRICES,STRV,,2023-12-12,1703200682000,0.033229491173416434,0.033229491173416434,29.68,29.85,29.85,29.6181,79344,29.4608,29.6296,29.6296,29.3994,79344,"Dec 12, 23",0.15000000000000213,0.0051,STRV
908,430.76,430.915,426.56,426.58,2023-11-02,SPY,94938909,HISTORICAL_PRICES,SPY,,2023-11-02,1703110578000,-0.045280258870985635,-0.045280258870985635,426.58,430.76,430.915,426.56,94938909,424.857,429.021,429.175,424.838,94938909,"Nov 2, 23",8.099999999999966,0.0192,SPY
848,454.03,454.29,452.21,453.58,2024-02-06,VOO,4383601,HISTORICAL_PRICES,VOO,,2024-02-06,1707271229000,0.09481324298907669,0.09481324298907669,453.58,454.03,454.29,452.21,4383601,453.58,454.03,454.29,452.21,4383601,"Feb 6, 24",1.4099999999999682,0.0031,VOO
509,3.76,3.8,3.07,3.07,2023-09-26,SWIN,470362,HISTORICAL_PRICES,SWIN,,2023-09-26,1695776444000,-0.3815789473684211,-0.3815789473684211,3.07,3.76,3.8,3.07,470362,3.07,3.76,3.8,3.07,470362,"Sep 26, 23",0.5,0.1534,SWIN
690,30.32,30.37,30.24,30.28,2023-12-15,STRV,67834,HISTORICAL_PRICES,STRV,,2023-12-15,1703200682000,0.04949809622706818,0.04949809622706818,30.28,30.32,30.37,30.24,67834,30.0564,30.0961,30.1457,30.0167,67834,"Dec 15, 23",-0.00999999999999801,-0.0003,STRV
361,105.83,106.08,104.47,104.66,2024-02-14,SWKS,1740236,HISTORICAL_PRICES,SWKS,,2024-02-14,1708108246000,-0.03510211524434727,-0.03510211524434727,104.66,105.83,106.08,104.47,1740236,103.3164,104.4714,104.7182,103.1288,1740236,"Feb 14, 24",2.450000000000003,0.0237,SWKS
536,2.21,2.2383,2.02,2.02,2023-11-02,SWIN,74585,HISTORICAL_PRICES,SWIN,,2023-11-02,1698973344000,-0.6365131578947368,-0.6365131578947368,2.02,2.21,2.2383,2.02,74585,2.02,2.21,2.2383,2.02,74585,"Nov 2, 23",0.14000000000000012,0.0676,SWIN
166,76.73,79.59,74.7,79.21,2023-11-01,ENPH,8043114,HISTORICAL_PRICES,ENPH,,2023-11-01,1698886927000,-0.4039462440767497,-0.4039462440767497,79.21,76.73,79.59,74.7,8043114,79.21,76.73,79.59,74.7,8043114,"Nov 1, 23",-2.8499999999999943,-0.0358,ENPH
237,131.62,131.79,124.4,126.61,2024-02-14,ENPH,4056533,HISTORICAL_PRICES,ENPH,,2024-02-14,1707962579000,0.022450089334265632,0.022450089334265632,126.61,131.62,131.79,124.4,4056533,126.61,131.62,131.79,124.4,4056533,"Feb 14, 24",8.060000000000002,0.0652,ENPH
326,112.84,113.49,111.94,112.49,2023-12-22,SWKS,814518,HISTORICAL_PRICES,SWKS,,2023-12-22,1703305850000,0.02881108679795766,0.02881108679795766,112.49,112.84,113.49,111.94,814518,112.49,112.84,113.49,111.94,814518,"Dec 22, 23",0.6599999999999966,0.0059,SWKS
397,155.75,158.5,153.2,158.04,2023-10-09,ALB,2607383,HISTORICAL_PRICES,ALB,,2023-10-09,1702938109000,-0.2222610606211924,-0.2222610606211924,158.04,155.75,158.5,153.2,2607383,157.589,155.305,158.047,152.763,2607383,"Oct 9, 23",-4.090000000000003,-0.0256,ALB
313,99.04,99.16,97.15,98.18,2023-12-05,SWKS,1318658,HISTORICAL_PRICES,SWKS,,2023-12-05,1701828040000,-0.09700948212983224,-0.09700948212983224,98.18,99.04,99.16,97.15,1318658,98.18,99.04,99.16,97.15,1318658,"Dec 5, 23",0.10000000000000853,0.001,SWKS
778,383.71,387.68,383.12,387.6,2023-10-25,VOO,5471214,HISTORICAL_PRICES,VOO,,2023-10-25,1703542782000,-0.07475103084082853,-0.07475103084082853,387.6,383.71,387.68,383.12,5471214,384.42,380.562,384.499,379.976,5471214,"Oct 25, 23",-5.490000000000009,-0.0141,VOO
685,29.59,29.61,29.38,29.41,2023-12-08,STRV,73891,HISTORICAL_PRICES,STRV,,2023-12-08,1703200682000,0.02422983731394944,0.02422983731394944,29.41,29.59,29.61,29.38,73891,29.1928,29.3715,29.3913,29.163,73891,"Dec 8, 23",0.129999999999999,0.0044,STRV
933,460.2,460.745,457.21,457.46,2023-12-08,SPY,83194404,HISTORICAL_PRICES,SPY,,2023-12-08,1703110582000,0.019969414215740576,0.019969414215740576,457.46,460.2,460.745,457.21,83194404,455.613,458.342,458.884,455.364,83194404,"Dec 8, 23",1.9699999999999704,0.0043,SPY
724,31.73,31.8,31.6451,31.76,2024-02-06,STRV,104700,HISTORICAL_PRICES,STRV,,2024-02-06,1707271250000,0.09830391138802352,0.09830391138802352,31.76,31.73,31.8,31.6451,104700,31.76,31.73,31.8,31.6451,104700,"Feb 6, 24",0.05000000000000071,0.0016,STRV
783,388.4,389.08,384.62,385.09,2023-11-01,VOO,5549159,HISTORICAL_PRICES,VOO,,2023-11-01,1703542776000,-0.06344192327168384,-0.06344192327168384,385.09,388.4,389.08,384.62,5549159,381.93,385.213,385.887,381.464,5549159,"Nov 1, 23",4.229999999999961,0.011,VOO
790,404.86,405.109,399.14,400.59,2023-11-10,VOO,3994439,HISTORICAL_PRICES,VOO,,2023-11-10,1703542788000,-0.023751537218779307,-0.023751537218779307,400.59,404.86,405.109,399.14,3994439,397.303,401.538,401.785,395.865,3994439,"Nov 10, 23",6.220000000000027,0.0156,VOO
729,31.82,31.91,31.595,31.87,2024-02-13,STRV,130440,HISTORICAL_PRICES,STRV,,2024-02-13,1707876021000,0.10141917618553131,0.10141917618553131,31.87,31.82,31.91,31.595,130440,31.87,31.82,31.91,31.595,130440,"Feb 13, 24",-0.4799999999999969,-0.0149,STRV
66,34.62,35.99,34.23,35.15,2023-12-06,IOT,4790271,HISTORICAL_PRICES,IOT,,2023-12-06,1701916281000,0.119301648884578,0.119301648884578,35.15,34.62,35.99,34.23,4790271,35.15,34.62,35.99,34.23,4790271,"Dec 6, 23",-0.05000000000000426,-0.0014,IOT
218,106.66,107.44,103.69,107.22,2024-01-18,ENPH,2908629,HISTORICAL_PRICES,ENPH,,2024-01-18,1705629632000,-0.17144410782257435,-0.17144410782257435,107.22,106.66,107.44,103.69,2908629,107.22,106.66,107.44,103.69,2908629,"Jan 18, 24",1.1099999999999994,0.0105,ENPH
161,94.35,95.35,90.6,94.05,2023-10-25,ENPH,5181643,HISTORICAL_PRICES,ENPH,,2023-10-25,1698282028000,-0.2670706129107434,-0.2670706129107434,94.05,94.35,95.35,90.6,5181643,94.05,94.35,95.35,90.6,5181643,"Oct 25, 23",-0.4900000000000091,-0.0052,ENPH
857,456.51,458.06,454.43,457.44,2024-02-20,VOO,5306784,HISTORICAL_PRICES,VOO,,2024-02-20,1708480859000,0.10079332545634302,0.10079332545634302,457.44,456.51,458.06,454.43,5306784,457.44,456.51,458.06,454.43,5306784,"Feb 20, 24",-2.519999999999982,-0.0055,VOO
