,close,high,low,open,priceDate,symbol,volume,id,key,subkey,date,updated,changeOverTime,marketChangeOverTime,uOpen,uClose,uHigh,uLow,uVolume,fOpen,fClose,fHigh,fLow,fVolume,label,change,changePercent,Ticker
549,2.68,2.74,2.435,2.47,2023-11-21,SWIN,72622,HISTORICAL_PRICES,SWIN,,2023-11-21,1700618416000,-0.5592105263157895,-0.5592105263157895,2.47,2.68,2.74,2.435,72622,2.47,2.68,2.74,2.435,72622,"Nov 21, 23",0.14000000000000012,0.0551,SWIN
367,103.85,105.2715,103.4,105.18,2024-02-23,SWKS,1271754,HISTORICAL_PRICES,SWKS,,2024-02-23,1708741894000,-0.053154631655725856,-0.053154631655725856,105.18,103.85,105.2715,103.4,1271754,105.18,103.85,105.2715,103.4,1271754,"Feb 23, 24",-1.0800000000000125,-0.0103,SWKS
857,456.51,458.06,454.43,457.44,2024-02-20,VOO,5306784,HISTORICAL_PRICES,VOO,,2024-02-20,1708480859000,0.10079332545634302,0.10079332545634302,457.44,456.51,458.06,454.43,5306784,457.44,456.51,458.06,454.43,5306784,"Feb 20, 24",-2.519999999999982,-0.0055,VOO
816,438.19,438.22,435.95,436.04,2023-12-19,VOO,4061508,HISTORICAL_PRICES,VOO,,2023-12-19,1703542784000,0.05661787755298888,0.05661787755298888,436.04,438.19,438.22,435.95,4061508,432.462,434.594,434.624,432.373,4061508,"Dec 19, 23",2.6499999999999773,0.0061,VOO
532,2.11,2.15,2.08,2.08,2023-10-27,SWIN,24482,HISTORICAL_PRICES,SWIN,,2023-10-27,1698456663000,-0.6529605263157895,-0.6529605263157895,2.08,2.11,2.15,2.08,24482,2.08,2.11,2.15,2.08,24482,"Oct 27, 23",-0.03000000000000025,-0.014,SWIN
577,2.5401,2.85,2.51,2.8,2024-01-03,SWIN,44461,HISTORICAL_PRICES,SWIN,,2024-01-03,1704333616000,-0.5822203947368422,-0.5822203947368422,2.8,2.5401,2.85,2.51,44461,2.8,2.5401,2.85,2.51,44461,"Jan 3, 24",-0.26990000000000025,-0.096,SWIN
373,200.8,203.62,197.33,200.24,2023-09-05,ALB,2581039,HISTORICAL_PRICES,ALB,,2023-09-05,1702938102000,0.002696494557075904,0.002696494557075904,200.24,200.8,203.62,197.33,2581039,199.235,199.793,202.599,196.34,2581039,"Sep 5, 23",0.5400000000000205,0.0027,ALB
60,26.88,26.995,26.1278,26.65,2023-11-28,IOT,2078790,HISTORICAL_PRICES,IOT,,2023-11-28,1701223243000,-0.13094083414161012,-0.13094083414161012,26.65,26.88,26.995,26.1278,2078790,26.65,26.88,26.995,26.1278,2078790,"Nov 28, 23",0.08999999999999986,0.0034,IOT
647,27.97,28.03,27.83,27.85,2023-10-16,STRV,66136,HISTORICAL_PRICES,STRV,,2023-10-16,1703200682000,-0.03184492904119078,-0.03184492904119078,27.85,27.97,28.03,27.83,66136,27.6443,27.7634,27.823,27.6245,66136,"Oct 16, 23",0.2799999999999976,0.0101,STRV
516,2.5,2.73,2.47,2.68,2023-10-05,SWIN,197713,HISTORICAL_PRICES,SWIN,,2023-10-05,1696554074000,-0.5888157894736842,-0.5888157894736842,2.68,2.5,2.73,2.47,197713,2.68,2.5,2.73,2.47,197713,"Oct 5, 23",-0.20000000000000018,-0.0741,SWIN
