symbol,marketcap,exchange,exchangeName,marketcapType,latestPrice,previousClose,extendedPrice,extendedChangePercent,extendedPriceTime,latestVolume_x,companyName,sharesOutstanding_x,avg10Volume_x,avg30Volume_x,sharesOutstanding_y,avg10Volume_y,avg30Volume_y,volume,latestVolume_y
A,39308346297.0,XNYS,New York Stock Exchange Inc,Large-Cap,134.14,134.84,134.14,0.0,1708462796791.0,1563902,Agilent Technologies Inc.,293039707,1249900,1311345,293039707,1249900,1311345,34993.0,1563902
AA,4765199944.0,XNYS,New York Stock Exchange Inc,Mid-Cap,26.7,27.4,26.7,0.0,1708462796468.0,4687957,Alcoa Corp,178471908,5162225,5761875,178471908,5162225,5761875,144756.0,4688057
AACG,45846051.0,XNAS,Nasdaq All Markets,Micro-Cap,1.46,1.46,,,,9242,ATA Creativity Global - ADR,31401405,42101,20623,31401405,42101,20623,,9242
AACI,88486546.0,XNAS,Nasdaq All Markets,Micro-Cap,10.98,10.98,,,,33,Armada Acquisition Corp I,8058884,461,14409,8058884,461,14409,,33
AACIU,88486549.0,XNAS,Nasdaq All Markets,Micro-Cap,10.9,10.9,,,,1655,Armada Acquisition Corp I - Units (1 Ord & 1/2 War),15000000,0,6983,15000000,0,6983,,1655
AACT,526500000.0,XNYS,New York Stock Exchange Inc,Small-Cap,10.53,10.52,10.52,-0.00095,1708128000001.0,307792,Ares Acquisition Corporation II - Class A,50000000,140291,214072,50000000,140291,214072,,307792
AACT=,526000002.0,XNYS,New York Stock Exchange Inc,Small-Cap,10.629,10.629,10.629,0.0,1708041600004.0,600,Ares Acquisition Corporation II - Units (1 Ord Class A & 1/2 War),50000000,600,4678,50000000,600,4678,,600
AADI,47089651.0,XNAS,Nasdaq All Markets,Micro-Cap,1.92,1.9,,,,169466,Aadi Bioscience Inc,24525860,241834,227696,24525860,241834,227696,2735.0,169466
AADR,25735500.0,XNAS,Nasdaq All Markets,Micro-Cap,57.19,57.19,,,,6977,Advisorshares Trust - AdvisorShares Dorsey Wright ADR ETF,450000,1002,730,450000,1002,730,,6977
AAGR,44904660.0,XNAS,Nasdaq All Markets,Micro-Cap,0.776,0.829,,,,134598,African Agriculture Holdings Inc,57866830,87929,107901,57866830,87929,107901,6681.0,134598
AAL,9600510680.0,XNAS,Nasdaq All Markets,Mid-Cap,14.69,14.64,,,,29258839,American Airlines Group Inc,653540550,27622550,36042798,653540550,27622550,36042798,,29258911
AAME,51821812.0,XNAS,Nasdaq All Markets,Micro-Cap,2.54,2.42,,,,12449,Atlantic American Corp.,20402288,4536,6411,20402288,4536,6411,,12449
AAN,318760806.0,XNYS,New York Stock Exchange Inc,Small-Cap,10.51,10.51,10.51,0.0,1708462795223.0,155177,Aarons Company Inc (The),30329287,200152,217206,30329287,200152,217206,,155177
AAOI,704334976.0,XNAS,Nasdaq All Markets,Small-Cap,19.82,21.34,,,,2836146,Applied Optoelectronics Inc,35536578,4040248,3209252,35536578,4040248,3209252,,2836146
AAON,6713727500.0,XNAS,Nasdaq All Markets,Mid-Cap,81.775,84.3,,,,501661,AAON Inc.,82100000,447140,412631,82100000,447140,412631,,501661
AAP,3678413022.0,XNYS,New York Stock Exchange Inc,Mid-Cap,61.82,64.49,61.82,0.0,1708462790834.0,1909644,Advance Auto Parts Inc,59501990,1401723,1359106,59501990,1401723,1359106,,1909644
AAPB,4987520.0,XNAS,Nasdaq All Markets,Micro-Cap,19.95,20.24,,,,25023,GraniteShares ETF Trust - GraniteShares 2x Long AAPL Daily ETF,250001,34406,58862,250001,34406,58862,,25023
