symbol,marketcap,exchange,exchangeName
A,38133257072.0,XNYS,New York Stock Exchange Inc
AA,4681318147.0,XNYS,New York Stock Exchange Inc
AACG,40193798.0,XNAS,Nasdaq All Markets
AACI,25760504.0,XNAS,Nasdaq All Markets
AACIU,25760504.0,XNAS,Nasdaq All Markets
AACT,525500000.0,XNYS,New York Stock Exchange Inc
AACT=,525000001.0,XNYS,New York Stock Exchange Inc
AADI,44637065.0,XNAS,Nasdaq All Markets
AADR,25636500.0,XNAS,Nasdaq All Markets
AAGR,50349929.0,XNAS,Nasdaq All Markets
AAL,9479605678.0,XNAS,Nasdaq All Markets
AAME,49577560.0,XNAS,Nasdaq All Markets
AAN,308145556.0,XNYS,New York Stock Exchange Inc
AAOI,687632784.0,XNAS,Nasdaq All Markets
AAON,6590988000.0,XNAS,Nasdaq All Markets
AAP,3759930748.0,XNYS,New York Stock Exchange Inc
AAPB,5778021.0,XNAS,Nasdaq All Markets
AAPD,34238771.0,XNAS,Nasdaq All Markets
AAPL,2873425216480.0,XNAS,Nasdaq All Markets
AAPU,35805026.0,XNAS,Nasdaq All Markets
AAT,1298298158.0,XNYS,New York Stock Exchange Inc
AAXJ,2354716000.0,XNAS,Nasdaq All Markets
AB,3838186492.0,XNYS,New York Stock Exchange Inc
ABAT,105185922.0,XNAS,Nasdaq All Markets
ABBV,310698000000.0,XNYS,New York Stock Exchange Inc
ABCB,3228874372.0,XNAS,Nasdaq All Markets
ABCL,1481319080.0,XNAS,Nasdaq All Markets
ABCS,7476000.0,XNAS,Nasdaq All Markets
ABEO,164247092.0,XNAS,Nasdaq All Markets
ABEV,39699659876.0,XNYS,New York Stock Exchange Inc
ABG,4474137994.0,XNYS,New York Stock Exchange Inc
ABIO,24071897.0,XNAS,Nasdaq All Markets
ABL,788071798.0,XNAS,Nasdaq All Markets
ABLLL,783637305.0,XNAS,Nasdaq All Markets
ABLLW,783637311.0,XNAS,Nasdaq All Markets
ABLV,45643158.0,XNAS,Nasdaq All Markets
ABLVW,45643158.0,XNAS,Nasdaq All Markets
ABM,2552790002.0,XNYS,New York Stock Exchange Inc
ABNB,97455042433.0,XNAS,Nasdaq All Markets
ABOS,182417952.0,XNAS,Nasdaq All Markets
ABR,2327052770.0,XNYS,New York Stock Exchange Inc
ABR-D,2397852723.0,XNYS,New York Stock Exchange Inc
ABR-E,2395100799.0,XNYS,New York Stock Exchange Inc
ABR-F,2389631688.0,XNYS,New York Stock Exchange Inc
ABSI,381977140.0,XNAS,Nasdaq All Markets
ABT,193475043545.0,XNYS,New York Stock Exchange Inc
ABTS,36265771.0,XNAS,Nasdaq All Markets
ABUS,477931454.0,XNAS,Nasdaq All Markets
ABVC,10338010.0,XNAS,Nasdaq All Markets
ABVX,754870416.0,XNAS,Nasdaq All Markets
AC,86006687.0,XNYS,New York Stock Exchange Inc
ACA,3981251224.0,XNYS,New York Stock Exchange Inc
ACAB,124666877.0,XNAS,Nasdaq All Markets
ACABU,115591348.0,XNAS,Nasdaq All Markets
ACAC,36033404.0,XNAS,Nasdaq All Markets
ACACU,36033408.0,XNAS,Nasdaq All Markets
ACACW,36033404.0,XNAS,Nasdaq All Markets
ACAD,4293316859.0,XNAS,Nasdaq All Markets
ACAH,128870666.0,XNAS,Nasdaq All Markets
ACAHU,129755737.0,XNAS,Nasdaq All Markets
ACAHW,129755740.0,XNAS,Nasdaq All Markets
ACB,185983214.0,XNAS,Nasdaq All Markets
ACBA,41265760.0,XNAS,Nasdaq All Markets
ACBAU,41265757.0,XNAS,Nasdaq All Markets
ACBAW,41265760.0,XNAS,Nasdaq All Markets
ACCD,1003589625.0,XNAS,Nasdaq All Markets
ACCO,595183838.0,XNYS,New York Stock Exchange Inc
ACDC,1102970780.0,XNAS,Nasdaq All Markets
ACEL,856089152.0,XNYS,New York Stock Exchange Inc
ACET,216649378.0,XNAS,Nasdaq All Markets
ACGL,31137464087.0,XNAS,Nasdaq All Markets
ACGLN,30616511719.0,XNAS,Nasdaq All Markets
ACGLO,31010585628.0,XNAS,Nasdaq All Markets
ACHC,7583882986.0,XNAS,Nasdaq All Markets
ACHL,37928142.0,XNAS,Nasdaq All Markets
ACHR,1317102858.0,XNYS,New York Stock Exchange Inc
ACHV,98844099.0,XNAS,Nasdaq All Markets
ACI,12168842169.0,XNYS,New York Stock Exchange Inc
ACIC,515140354.0,XNAS,Nasdaq All Markets
ACIU,240680653.0,XNAS,Nasdaq All Markets
ACIW,3287088000.0,XNAS,Nasdaq All Markets
ACLS,3985693235.0,XNAS,Nasdaq All Markets
ACLX,3054571372.0,XNAS,Nasdaq All Markets
ACM,12179544280.0,XNYS,New York Stock Exchange Inc
ACMR,1027784844.0,XNAS,Nasdaq All Markets
ACN,243383357963.0,XNYS,New York Stock Exchange Inc
ACNB,315380736.0,XNAS,Nasdaq All Markets
ACNT,98723947.0,XNAS,Nasdaq All Markets
ACON,16706719.0,XNAS,Nasdaq All Markets
ACONW,16706719.0,XNAS,Nasdaq All Markets
ACOR,18805364.0,XNAS,Nasdaq All Markets
ACP,352030786.0,XNYS,New York Stock Exchange Inc
ACP-A,339791223.0,XNYS,New York Stock Exchange Inc
ACR,83156213.0,XNYS,New York Stock Exchange Inc
ACR-C,81982589.0,XNYS,New York Stock Exchange Inc
ACR-D,82352971.0,XNYS,New York Stock Exchange Inc
ACRE,447471712.0,XNYS,New York Stock Exchange Inc
ACRS,85661517.0,XNAS,Nasdaq All Markets
ACRV,76237445.0,XNAS,Nasdaq All Markets
ACST,24532444.0,XNAS,Nasdaq All Markets
ACT,4296020841.0,XNAS,Nasdaq All Markets
ACTG,431508911.0,XNAS,Nasdaq All Markets
ACV,236118504.0,XNYS,New York Stock Exchange Inc
ACVA,1872295728.0,XNAS,Nasdaq All Markets
ACWI,18456529000.0,XNAS,Nasdaq All Markets
ACWX,4393140000.0,XNAS,Nasdaq All Markets
ACXP,41854650.0,XNAS,Nasdaq All Markets
ADAG,155613082.0,XNAS,Nasdaq All Markets
ADAP,180180509.0,XNAS,Nasdaq All Markets
ADBE,273812560000.0,XNAS,Nasdaq All Markets
ADC,5697457560.0,XNYS,New York Stock Exchange Inc
ADC-A,5759772336.0,XNYS,New York Stock Exchange Inc
ADCT,342730740.0,XNYS,New York Stock Exchange Inc
