date,symbol,close,high,low,open,volume
2023-10-16,CHKP,136.46,137.34,134.62,134.62,1158362
2023-10-17,EXP,167.0,168.19,165.79,165.79,350314
2023-10-17,CAMT,59.55,61.8,57.23,58.76,441609
2023-10-17,CHKP,135.49,136.59,134.96,135.69,1266250
2023-10-17,NGVC,13.06,13.39,13.01,13.01,18263
2023-10-17,KALU,69.99,70.37,65.8313,67.08,77983
2023-10-17,CHK,89.59,91.0,87.07,89.09,4885419
2023-10-17,GRMN,106.83,107.975,105.93,106.96,564354
2023-10-17,PLSE,4.42,4.6247,4.2599,4.29,87878
2023-10-17,LOGI,72.17,72.37,70.9,70.97,486777
2023-10-18,NUKK,0.11,0.125,0.07,0.07,8287
2023-10-18,NGVC,13.02,13.18,12.8826,13.18,16764
2023-10-18,GRMN,105.06,106.16,105.02,105.96,521235
2023-10-18,PLSE,4.13,4.49,4.09,4.49,79625
2023-10-18,LOGI,70.79,71.34,70.5459,70.87,420886
2023-10-18,CHK,89.37,89.88,88.0,89.88,2238066
2023-10-18,CHKP,137.39,137.65,134.84,135.62,1036783
2023-10-18,KALU,67.35,69.59,67.3,69.59,54955
2023-10-18,EXP,159.31,164.89,159.24,164.89,246106
2023-10-18,CAMT,58.4,60.03,57.21,58.03,292726
2023-10-19,LOGI,70.32,71.18,70.04,70.75,712922
2023-10-19,GRMN,104.33,105.76,104.18,105.0,500006
2023-10-19,CHKP,135.5,138.64,135.435,138.02,864700
2023-10-19,EXP,157.36,161.33,156.76,159.4,377499
2023-10-19,NGVC,12.82,12.99,12.79,12.99,8654
2023-10-19,PLSE,3.97,4.19,3.97,4.15,78371
2023-10-19,NUKK,0.125,0.125,0.11,0.11,10110
2023-10-19,KALU,66.55,69.81,66.52,67.32,75213
2023-10-19,CHK,88.77,89.97,88.1301,88.81,1831828
2023-10-19,CAMT,54.52,58.57,54.07,58.51,895221
2023-10-20,CAMT,52.22,54.3,48.5,54.28,1616708
2023-10-20,GRMN,103.28,104.63,102.7,104.63,595442
2023-10-20,NGVC,12.96,13.08,12.7348,12.92,29751
2023-10-20,KALU,64.23,66.66,63.995,66.64,86297
2023-10-20,LOGI,69.17,70.29,68.805,70.29,1023356
2023-10-20,CHKP,134.65,136.03,134.09,135.36,843675
2023-10-20,EXP,155.03,158.285,154.05,157.65,539158
2023-10-20,PLSE,4.03,4.27,3.98,3.98,124012
2023-10-20,CHK,88.02,88.88,87.61,88.83,954877
2023-10-23,PLSE,3.96,4.17,3.93,3.98,62131
2023-10-23,GRMN,101.98,103.15,101.91,102.95,647040
2023-10-23,CHKP,132.43,134.4,132.02,134.34,680139
2023-10-23,NGVC,12.52,12.88,12.465,12.64,35427
2023-10-23,CAMT,50.72,52.345,50.56,51.77,829293
2023-10-23,LOGI,68.35,70.12,67.8156,68.11,1039662
2023-10-23,CHK,86.85,87.61,86.25,87.18,1679077
2023-10-23,KALU,63.46,64.96,63.44,64.12,72483
2023-10-23,NUKK,0.125,0.1252,0.125,0.125,11659
2023-10-23,EXP,154.34,157.96,153.89,153.89,490817
2023-10-24,KALU,64.3,64.75,62.64,62.64,114868
2023-10-24,NUKK,0.16,0.16,0.16,0.16,2962
2023-10-24,GRMN,102.34,102.87,101.61,102.38,704504
2023-10-24,NGVC,12.38,12.71,12.28,12.71,31865
2023-10-24,EXP,155.62,157.155,154.77,156.12,252407
2023-10-24,CAMT,52.86,53.18,51.34,51.46,487414
2023-10-24,CHK,86.93,87.75,86.17,87.73,1054422
2023-10-24,PLSE,4.07,4.0982,3.93,3.94,54577
2023-10-24,LOGI,77.16,77.32,74.0,75.46,2301272
2023-10-24,CHKP,136.28,136.34,133.34,133.68,688020
2023-10-25,CHK,86.65,87.29,85.25,87.13,1787322
2023-10-25,EXP,152.11,154.68,151.795,154.1,392245
2023-10-25,LOGI,76.76,78.2,76.34,77.74,1042509
2023-10-25,KALU,62.65,63.58,61.97,63.5,127445
