date,symbol,close
2023-09-01,IOT,30.93
2023-09-05,IOT,31.83
2023-09-06,IOT,31.58
2023-09-07,IOT,30.91
2023-09-08,IOT,30.57
2023-09-11,IOT,30.85
2023-09-12,IOT,30.27
2023-09-13,IOT,29.32
2023-09-14,IOT,29.03
2023-09-15,IOT,28.14
2023-09-18,IOT,27.45
2023-09-19,IOT,27.15
2023-09-20,IOT,25.22
2023-09-21,IOT,23.55
2023-09-22,IOT,23.13
2023-09-25,IOT,23.61
2023-09-26,IOT,23.54
2023-09-27,IOT,24.91
2023-09-28,IOT,25.0
2023-09-29,IOT,25.21
2023-10-02,IOT,25.43
2023-10-03,IOT,24.27
2023-10-04,IOT,24.69
2023-10-05,IOT,24.39
2023-10-06,IOT,25.7
2023-10-09,IOT,25.58
2023-10-10,IOT,25.04
2023-10-11,IOT,25.43
2023-10-12,IOT,24.65
2023-10-13,IOT,23.46
2023-10-16,IOT,24.43
2023-10-17,IOT,24.9
2023-10-18,IOT,23.56
2023-10-19,IOT,23.23
2023-10-20,IOT,22.82
2023-10-23,IOT,23.15
2023-10-24,IOT,23.68
2023-10-25,IOT,22.16
2023-10-26,IOT,22.14
2023-10-27,IOT,22.21
2023-10-30,IOT,22.95
2023-10-31,IOT,23.07
2023-11-01,IOT,22.34
2023-11-02,IOT,22.71
2023-11-03,IOT,25.03
2023-11-06,IOT,24.14
2023-11-07,IOT,25.14
2023-11-08,IOT,24.8
2023-11-09,IOT,23.56
2023-11-10,IOT,24.0
2023-11-13,IOT,23.57
2023-11-14,IOT,26.3
2023-11-15,IOT,26.63
2023-11-16,IOT,26.58
2023-11-17,IOT,26.88
2023-11-20,IOT,27.16
2023-11-21,IOT,26.39
2023-11-22,IOT,26.72
2023-11-24,IOT,27.27
2023-11-27,IOT,26.79
2023-11-28,IOT,26.88
2023-11-29,IOT,28.14
2023-11-30,IOT,27.54
2023-12-01,IOT,34.59
2023-12-04,IOT,34.3
2023-12-05,IOT,34.67
2023-12-06,IOT,34.62
2023-12-07,IOT,33.73
2023-12-08,IOT,33.67
2023-12-11,IOT,33.91
2023-12-12,IOT,34.18
2023-12-13,IOT,35.92
2023-12-14,IOT,35.64
2023-12-15,IOT,33.99
2023-12-18,IOT,34.29
2023-12-19,IOT,34.18
2023-12-20,IOT,33.12
2023-12-21,IOT,33.79
2023-12-22,IOT,34.01
2023-12-26,IOT,34.82
2023-12-27,IOT,33.46
