,close,close,close,close,close,close,close,close
symbol,ALB,ENPH,IOT,SPY,STRV,SWIN,SWKS,VOO
date,,,,,,,,
2023-12-22,150.09,133.99,34.01,473.65,30.47,3.08,112.84,435.29
2023-11-08,119.01,76.9,24.8,437.25,28.07,2.75,87.9,401.67
2023-10-23,136.28,96.29,23.15,420.46,26.95,2.09,90.46,386.31
2023-10-27,134.44,82.09,22.21,410.68,26.34,2.11,88.23,377.32
2024-01-18,117.99,106.66,31.85,476.49,30.65,2.71,103.73,437.93
2023-11-14,125.32,91.39,26.3,448.73,28.81,2.35,92.85,412.22
2023-10-26,135.21,96.18,22.14,412.55,26.45,2.14,88.61,379.0
2023-10-05,155.03,116.01,24.39,424.5,27.22,2.5,96.76,389.91
2023-09-08,184.43,120.23,30.57,445.52,28.56,4.91,99.38,409.39
2024-01-31,114.74,104.13,31.4,482.88,31.0,5.1,104.46,443.82
2024-02-12,120.09,128.9,34.49,500.98,32.3,6.6101,106.12,460.46
2024-01-09,133.67,117.06,32.95,473.88,30.5,2.36,104.58,435.07
2023-10-03,156.77,114.22,24.27,421.59,27.01,2.76,97.03,387.39
2023-10-04,158.4,117.18,24.69,424.66,27.24,2.7,97.57,390.24
2023-12-05,113.26,110.0,34.67,456.6,29.35,2.73,99.04,419.61
2023-12-15,147.06,123.92,33.99,469.33,30.32,2.83,112.59,433.09
2023-09-14,184.97,122.31,29.03,450.36,28.86,2.59,99.24,413.9
2023-11-06,119.46,78.18,24.14,435.69,27.95,2.51,90.0,400.21
2023-11-30,121.27,101.02,27.54,456.4,29.34,2.76,96.93,419.4
2024-01-17,120.7,105.55,32.36,472.29,30.43,2.475,100.22,434.07
2024-01-02,146.89,131.24,31.38,472.65,30.37,2.81,109.11,434.01
2024-02-22,118.18,123.44,32.69,507.5,32.65,7.25,104.93,466.57
2023-10-31,126.78,79.58,23.07,418.2,26.82,2.0,86.74,384.17
2024-01-29,123.2,109.17,32.29,491.27,31.66,6.45,106.15,451.49
2023-09-27,162.63,120.11,24.91,426.05,27.3,3.27,96.3,392.85
2024-01-10,132.94,117.54,32.86,476.56,30.7,2.11,104.33,437.94
2023-11-17,127.39,92.86,26.88,450.79,28.94,2.36,94.2,414.31
2023-09-29,170.04,120.15,25.21,427.48,27.4,3.13,98.59,392.7
2023-09-15,183.84,120.3,28.14,443.37,28.51,2.33,98.21,408.74
2023-11-13,114.19,78.55,23.57,440.19,28.27,2.31,88.91,404.45
2024-02-13,112.2,123.56,32.67,494.08,31.82,7.11,103.38,453.97
2023-11-01,122.96,76.73,22.34,422.66,27.11,2.07,87.06,388.4
2023-10-30,127.41,78.66,22.95,415.59,26.65,2.04,86.45,381.86
2023-12-27,149.32,135.63,33.46,476.51,30.64,3.0055,114.41,437.9
2024-02-14,114.39,131.62,34.59,498.57,32.08,6.56,105.83,458.29
2023-12-20,142.53,128.0,33.12,468.26,30.1,3.16,109.57,430.09
2023-09-12,184.35,123.35,30.27,445.99,28.59,3.17,96.91,409.87
2023-09-18,181.62,117.16,27.45,443.63,28.53,2.08,98.5,409.19
2023-09-19,179.99,122.09,27.15,442.71,28.47,2.45,97.82,408.37
2023-12-28,149.43,134.79,33.87,476.69,30.66,2.92,113.92,437.97
2023-09-26,163.65,119.15,23.54,425.88,27.38,3.76,95.93,392.76
2023-12-26,152.39,137.34,34.82,475.65,30.59,3.05,114.51,437.1
2023-12-29,144.48,132.14,33.38,475.31,30.57,2.99,112.42,436.8
2023-12-18,145.91,124.03,34.29,471.97,30.48,2.81,111.27,435.54
2023-11-03,127.98,80.81,25.03,434.69,27.89,2.49,91.05,399.44
2024-02-01,116.78,105.44,31.63,489.2,31.47,3.99,102.96,449.66
2024-02-08,114.33,116.88,34.31,498.32,32.09,5.29,104.59,458.07
2024-02-20,114.82,127.55,32.93,496.76,31.98,7.1,103.92,456.51
2023-11-09,114.6,75.56,23.56,433.84,27.85,2.96,86.5,398.64
2024-01-12,126.05,110.22,33.17,476.68,30.7,2.23,102.48,437.99
